Rank,University,Faculty,Title,Research,Website,Email,Status,is_chinese,send_priority,full_research,publications
1,Massachusetts Institute of Technology (MIT),Henry Marcus,Professor Emeritus  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Wojciech Matusik,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Gareth H. McKinley,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Chiang Mei,Professor Emeritus  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Borivoje Mikic,Professor Emeritus  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Stefanie Mueller,Associate Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),John Nicholas Newman,Professor Emeritus  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),David Moore Parks,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Anthony T. Patera,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Nicholas M. Patrikalakis,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Thomas Peacock,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Carlos Portela,Assistant Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Ritu Raman,Assistant Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Ellen Roche,Associate Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Alberto Rodriguez,Short Term Lecturer  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Derek Rowell,Professor Emeritus  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Emanuel Michael Sachs,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Themistoklis Sapsis,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Sanjay E. Sarma,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Henrik Schmidt,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Paul D. Sclavounos,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Warren Paul Seering,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Yang Shao-Horn,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Thomas Sheridan,Professor Emeritus  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Alexander H. Slocum,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Jean-Jacques E. Slotine,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Peter T. C. So,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Mandayam A. Srinivasan,Senior Research Scientist  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Vivishek Sudhir,Assistant Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Nam Pyo Suh,Ralph E & Eloise F Cross Professor Emeritus  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Loza Tadesse,Assistant Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Alexandra H. Techet,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Russ Tedrake,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Tian Tian,Senior Research Engineer  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Neil Todreas,Professor Emeritus  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Giovanni Traverso,Associate Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Michael S. Triantafyllou,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),David L. Trumper,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Wim van Rees,Associate Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),J. Kim Vandiver,Dean for Undergraduate Research / Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Kripa Varanasi,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),David Wallace,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Evelyn Wang,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Sherrie Wang,Assistant Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Brian Wardle,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Tomasz Wierzbicki,Professor Emeritus  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),James H. Williams Jr.,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Amos G. Winter,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Maria Yang,Deputy Dean of Engineering  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Ioannis V. Yannas,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Kamal Youcef-Toumi,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Dick K. P. Yue,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Xuanhe Zhao,Professor  ,,,,,,,,
1,Massachusetts Institute of Technology (MIT),Raphael Zufferey,Assistant Professor (starting January 2025),,,,,,,,
